x: -2.26, y: 676.16, z: 1315.35 
x: -12.08, y: 688.59, z: 1309.39 
x: -23.79, y: 685.87, z: 1299.56 
x: -42.88, y: 687.90, z: 1292.32 
x: -54.64, y: 700.21, z: 1273.51 
x: -73.42, y: 700.26, z: 1235.15 
x: -90.48, y: 697.26, z: 1180.97 
x: -93.49, y: 684.03, z: 1099.27 
x: -103.31, y: 690.13, z: 1035.31 
x: -130.28, y: 676.52, z: 982.44 
x: -130.28, y: 676.52, z: 982.44 
x: -130.28, y: 676.52, z: 982.44 
